parallel,32,1000000,1000,141.232747,4.426170,4.426169,141.232741,static
parallel,32,1000000,1000,140.148060,4.379264,4.379264,140.148056,static
parallel,32,1000000,1000,139.763145,4.366154,4.366154,139.763143,static
parallel,32,1000000,1000,140.275556,4.383855,4.383855,140.275556,static
parallel,32,1000000,1000,140.272991,4.383237,4.383237,140.272989,static
parallel,32,1000000,1000,141.681726,4.425977,4.425977,141.681725,static
parallel,32,1000000,1000,140.399567,4.388102,4.388102,140.399565,static
parallel,32,1000000,1000,141.682253,4.426053,4.426052,141.682251,static
parallel,32,1000000,1000,142.063040,4.438507,4.438507,142.063039,static
parallel,32,1000000,1000,140.277815,4.383542,4.383542,140.277814,static
ordered,32,1000000,1000,1202.946721,153.810092,153.810091,1202.946724,static
ordered,32,1000000,1000,1200.881024,153.939929,153.939929,1200.881025,static
ordered,32,1000000,1000,1201.176132,153.985196,153.985196,1201.176134,static
ordered,32,1000000,1000,1200.279756,153.861373,153.861372,1200.279759,static
ordered,32,1000000,1000,1203.464648,152.959374,152.959373,1203.464648,static
ordered,32,1000000,1000,1201.534345,153.836817,153.836817,1201.534347,static
ordered,32,1000000,1000,1201.073582,154.100116,154.100116,1201.073584,static
ordered,32,1000000,1000,1203.909099,153.632351,153.632351,1203.909102,static
ordered,32,1000000,1000,1201.386363,154.081544,154.081544,1201.386366,static
ordered,32,1000000,1000,1203.224863,153.763936,153.763936,1203.224866,static
