sequential,100000,1000,11.564520,11.565564,11.565564,11.564518
sequential,100000,1000,11.863380,11.864962,11.864962,11.863380
sequential,100000,1000,11.565064,11.567500,11.567500,11.565064
sequential,100000,1000,11.563610,11.564720,11.564719,11.563609
sequential,100000,1000,11.581794,11.584292,11.584292,11.581793
sequential,100000,1000,11.569122,11.571769,11.571769,11.569121
sequential,100000,1000,11.565931,11.566844,11.566844,11.565929
sequential,100000,1000,11.561610,11.564114,11.564114,11.561609
sequential,100000,1000,11.811446,11.812384,11.812383,11.811444
sequential,100000,1000,11.561530,11.563457,11.563457,11.561530
sequential,10000,1000,1.156347,1.157256,1.157256,1.156345
sequential,10000,1000,1.156774,1.156966,1.156965,1.156772
sequential,10000,1000,1.157353,1.157564,1.157563,1.157352
sequential,10000,1000,1.155605,1.157163,1.157163,1.155604
sequential,10000,1000,1.156266,1.158811,1.158811,1.156264
sequential,10000,1000,1.156776,1.157124,1.157124,1.156774
sequential,10000,1000,1.155058,1.155438,1.155437,1.155056
sequential,10000,1000,1.159609,1.161108,1.161108,1.159608
sequential,10000,1000,1.155186,1.156631,1.156631,1.155184
sequential,10000,1000,1.155118,1.155249,1.155248,1.155116
sequential,1000,1000,0.115868,0.116893,0.116892,0.115866
sequential,1000,1000,0.116020,0.116172,0.116171,0.116018
sequential,1000,1000,0.119236,0.121254,0.121254,0.119234
sequential,1000,1000,0.115901,0.115976,0.115976,0.115900
sequential,1000,1000,0.114600,0.114661,0.114661,0.114599
sequential,1000,1000,0.120547,0.121927,0.121927,0.120545
sequential,1000,1000,0.116051,0.117989,0.117988,0.116049
sequential,1000,1000,0.114162,0.114187,0.114186,0.114161
sequential,1000,1000,0.119701,0.119769,0.119768,0.119699
sequential,1000,1000,0.114600,0.114672,0.114671,0.114599
