sequential,1,1000000,1000,116.314011,116.367691,116.367691,116.314008
sequential,1,1000000,1000,116.341824,116.395750,116.395750,116.341821
sequential,1,1000000,1000,116.325724,116.376857,116.376857,116.325722
sequential,1,1000000,1000,116.314652,116.370152,116.370152,116.314649
sequential,1,1000000,1000,116.306690,116.360518,116.360518,116.306687
sequential,1,1000000,1000,116.865023,116.918205,116.918205,116.865019
sequential,1,1000000,1000,116.346087,116.399086,116.399086,116.346083
sequential,1,1000000,1000,116.416484,116.469502,116.469502,116.416482
sequential,1,1000000,1000,116.310307,116.367782,116.367782,116.310302
sequential,1,1000000,1000,116.415381,116.474624,116.474624,116.415379
