16,1000,10000,103.095193,6.910936,6.910936,103.095192
16,1000,10000,104.098915,6.979088,6.979087,104.098913
16,1000,10000,103.565441,6.949121,6.949121,103.565439
16,1000,10000,103.371539,6.924508,6.924508,103.371538
16,1000,10000,103.188509,6.916905,6.916905,103.188507
16,1000,10000,103.303930,6.911001,6.911001,103.303928
16,1000,10000,103.488962,6.940555,6.940555,103.488960
16,1000,10000,103.509467,6.929441,6.929440,103.509465
16,1000,10000,103.474063,6.944627,6.944627,103.474061
16,1000,10000,103.254517,6.910545,6.910544,103.254515
16,1000,10000,102.954400,6.889364,6.889364,102.954399
16,1000,10000,103.122216,6.899193,6.899193,103.122213
16,1000,10000,103.216191,6.912571,6.912571,103.216189
16,1000,10000,103.249943,6.927232,6.927232,103.249942
16,1000,10000,103.494678,6.940915,6.940914,103.494676
16,1000,10000,103.130307,6.909073,6.909073,103.130305
16,1000,10000,103.746470,6.964468,6.964468,103.746468
16,1000,10000,103.306701,6.928915,6.928915,103.306699
16,1000,10000,103.759031,6.960595,6.960595,103.759029
16,1000,10000,103.549713,6.936943,6.936943,103.549711
16,1000,10000,103.840760,6.968614,6.968614,103.840759
16,1000,10000,103.423012,6.931514,6.931514,103.423011
16,1000,10000,103.951846,6.963531,6.963531,103.951843
16,1000,10000,103.332758,6.933119,6.933119,103.332755
16,1000,10000,103.956395,6.975049,6.975049,103.956393
16,1000,10000,103.419861,6.932579,6.932579,103.419858
16,1000,10000,103.738403,6.963390,6.963390,103.738402
16,1000,10000,103.462257,6.920532,6.920532,103.462255
16,1000,10000,103.851760,6.976033,6.976033,103.851758
16,1000,10000,103.212103,6.906833,6.906833,103.212101
