sequential,1,100000,1000,11.572654,11.575873,11.575873,11.572653,,NORMAL,
sequential,1,100000,1000,11.581491,11.584641,11.584641,11.581487,,NORMAL,
sequential,1,100000,1000,11.573309,11.577086,11.577086,11.573309,,NORMAL,
sequential,1,100000,1000,11.569563,11.574519,11.574519,11.569563,,NORMAL,
sequential,1,100000,1000,11.569142,11.573981,11.573981,11.569142,,NORMAL,
sequential,1,100000,1000,11.564869,11.568207,11.568207,11.564869,,NORMAL,
sequential,1,100000,1000,11.859344,11.862928,11.862927,11.859344,,NORMAL,
sequential,1,100000,1000,11.573042,11.577382,11.577382,11.573041,,NORMAL,
sequential,1,100000,1000,11.569016,11.572571,11.572571,11.569016,,NORMAL,
sequential,1,100000,1000,11.575907,11.580428,11.580428,11.575906,,NORMAL,
